Name,County,geoid,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty_Rate,State,abbr,Unemployment Rate,Unemployment_Rate
"Glades County, Florida",Glades County,12043,13197,45.8,37385,20476,451,2140,16.21580662,Florida,FL,0.034174434,3.417443358
"Hendry County, Florida",Hendry County,12051,39064,33.7,37966,18426,1448,9739,24.93088265,Florida,FL,0.037067377,3.706737661
"Indian River County, Florida",Indian River County,12061,147981,52.2,49009,33122,4984,18617,12.58066914,Florida,FL,0.033679999,3.367999946
"Jackson County, Florida",Jackson County,12063,48571,41.5,36944,18126,2050,8792,18.10133619,Florida,FL,0.042206255,4.220625476
"Palm Beach County, Florida",Palm Beach County,12099,1426772,44.4,57256,36303,52432,189156,13.2576193,Florida,FL,0.036748689,3.674868865
"St. Johns County, Florida",St. Johns County,12109,226578,43.1,73640,39563,5792,20330,8.972627528,Florida,FL,0.025562941,2.55629408
"Seminole County, Florida",Seminole County,12117,449260,39.1,60739,31363,15736,52509,11.68788675,Florida,FL,0.035026488,3.5026488
"Miami-Dade County, Florida",Miami-Dade County,12086,2702602,39.5,46338,25481,100968,505182,18.69243048,Florida,FL,0.037359552,3.735955202
"Bay County, Florida",Bay County,12005,180117,39.6,50283,26742,5480,27248,15.12794461,Florida,FL,0.030424668,3.042466841
"Flagler County, Florida",Flagler County,12035,105015,50.3,51049,25741,2719,13839,13.17811741,Florida,FL,0.025891539,2.58915393
"Franklin County, Florida",Franklin County,12037,11675,44.3,41267,23524,368,2012,17.23340471,Florida,FL,0.031520343,3.152034261
"Gulf County, Florida",Gulf County,12045,16018,44.3,44647,21085,338,2029,12.66699963,Florida,FL,0.021101261,2.110126108
"Hamilton County, Florida",Hamilton County,12047,14238,41.1,36209,16109,562,2896,20.33993538,Florida,FL,0.039471836,3.947183593
"Liberty County, Florida",Liberty County,12077,8347,36.9,36741,16937,261,1230,14.73583323,Florida,FL,0.031268719,3.12687193
"Osceola County, Florida",Osceola County,12097,325168,35.7,47343,20165,10297,57416,17.65733406,Florida,FL,0.031666708,3.166670767
"Sumter County, Florida",Sumter County,12119,116754,66.4,54771,33168,1681,9895,8.475084365,Florida,FL,0.014397794,1.439779365
"Walton County, Florida",Walton County,12131,63457,43.2,50619,30853,1682,10410,16.40480956,Florida,FL,0.026506138,2.650613801
"Gadsden County, Florida",Gadsden County,12039,46113,40.7,39830,19252,1525,10495,22.75930865,Florida,FL,0.033070934,3.307093444
"Holmes County, Florida",Holmes County,12059,19483,42.2,37474,18402,827,4679,24.01580865,Florida,FL,0.042447262,4.244726172
"Jefferson County, Florida",Jefferson County,12065,14085,46,47599,22452,384,1601,11.36670217,Florida,FL,0.027263046,2.726304579
"Lee County, Florida",Lee County,12071,700165,47.8,52052,30233,21844,102539,14.64497654,Florida,FL,0.03119836,3.119836039
"Marion County, Florida",Marion County,12083,343778,48.5,41964,23598,11868,58762,17.0930077,Florida,FL,0.034522279,3.452227891
"Hardee County, Florida",Hardee County,12049,27326,34.9,39063,18643,990,6248,22.86467101,Florida,FL,0.036229232,3.622923223
"Collier County, Florida",Collier County,12021,356774,49.7,62407,41239,8389,45385,12.72093818,Florida,FL,0.023513485,2.351348473
"Okeechobee County, Florida",Okeechobee County,12093,40228,41,39059,18611,1396,8273,20.56527792,Florida,FL,0.034702197,3.470219747
"Orange County, Florida",Orange County,12095,1290216,34.7,51586,27394,46711,209366,16.22720537,Florida,FL,0.036204015,3.620401545
"Alachua County, Florida",Alachua County,12001,259865,31.2,45478,26431,8581,57060,21.95755488,Florida,FL,0.033020992,3.302099167
"District of Columbia, District of Columbia",District of Columbia,11001,672391,33.9,77649,50832,31279,111025,16.51196997,District of Columbia,DC,0.046519064,4.651906406
"Pasco County, Florida",Pasco County,12101,498136,44.5,48289,26624,15299,66457,13.34113575,Florida,FL,0.030712496,3.071249619
"Gilchrist County, Florida",Gilchrist County,12041,17191,42.8,42934,21145,516,3124,18.17229946,Florida,FL,0.030015706,3.001570589
"Highlands County, Florida",Highlands County,12055,100177,53.1,36374,23020,4166,18495,18.46232169,Florida,FL,0.041586392,4.158639209
"Suwannee County, Florida",Suwannee County,12121,43814,41.7,40600,21565,1659,8576,19.57365226,Florida,FL,0.037864609,3.786460949
"DeSoto County, Florida",DeSoto County,12027,35675,40.7,35435,17892,818,10086,28.27189909,Florida,FL,0.022929222,2.292922214
"Calhoun County, Florida",Calhoun County,12013,14458,40.3,36237,15927,441,1591,11.00428828,Florida,FL,0.030502144,3.050214414
"Charlotte County, Florida",Charlotte County,12015,173236,58.1,46511,29243,5753,20274,11.70311021,Florida,FL,0.033209033,3.320903276
"Columbia County, Florida",Columbia County,12023,68484,40.7,43504,22855,2727,10649,15.54961743,Florida,FL,0.03981952,3.981951989
"Dixie County, Florida",Dixie County,12029,16323,47.6,35910,19342,319,3471,21.26447344,Florida,FL,0.019542976,1.954297617
"Martin County, Florida",Martin County,12085,155719,51.6,55588,38021,4527,16624,10.6756401,Florida,FL,0.029071597,2.907159691
"Putnam County, Florida",Putnam County,12107,72435,44.8,33619,18950,2887,19546,26.98419272,Florida,FL,0.039856423,3.9856423
"Sarasota County, Florida",Sarasota County,12115,404839,55.1,55236,37054,9691,41926,10.35621568,Florida,FL,0.023937911,2.393791112
"Union County, Florida",Union County,12125,15300,39.8,37460,13485,411,2134,13.94771242,Florida,FL,0.026862745,2.68627451
"Clay County, Georgia",Clay County,13061,3024,44.6,23315,14559,221,1230,40.67460317,Georgia,GA,0.073082011,7.308201058
"Echols County, Georgia",Echols County,13101,4011,38.1,34315,20589,96,1130,28.17252555,Georgia,GA,0.023934181,2.3934181
"Glynn County, Georgia",Glynn County,13127,83467,40.8,47546,29209,2705,15773,18.89728875,Georgia,GA,0.032408018,3.240801754
"DeKalb County, Georgia",DeKalb County,13089,736066,35.5,55876,32110,34077,127299,17.29450892,Georgia,GA,0.04629612,4.629612018
"Haralson County, Georgia",Haralson County,13143,28722,40.7,43663,23141,916,5064,17.63108419,Georgia,GA,0.03189193,3.189192953
"Lincoln County, Georgia",Lincoln County,13181,7768,47.9,37711,24529,207,1773,22.82440783,Georgia,GA,0.026647786,2.664778579
"Jackson County, Georgia",Jackson County,13157,63851,38.7,57999,25598,1958,7898,12.36942256,Georgia,GA,0.030665142,3.066514228
"Jefferson County, Georgia",Jefferson County,13163,15954,38.6,29640,17485,540,4162,26.08750157,Georgia,GA,0.033847311,3.384731102
"Jones County, Georgia",Jones County,13169,28540,39.7,55110,26098,1169,4001,14.01892081,Georgia,GA,0.040960056,4.096005606
"Murray County, Georgia",Murray County,13213,39444,37.6,41617,19084,1335,7026,17.81259507,Georgia,GA,0.033845452,3.384545178
"Muscogee County, Georgia",Muscogee County,13215,198647,33.7,43239,24604,8742,41295,20.78813171,Georgia,GA,0.044007712,4.400771217
"Pulaski County, Georgia",Pulaski County,13235,11396,43.1,38750,18623,268,2143,18.8048438,Georgia,GA,0.023517024,2.351702352
"Rabun County, Georgia",Rabun County,13241,16354,48.8,39297,26942,380,3259,19.9278464,Georgia,GA,0.023235906,2.323590559
"Stewart County, Georgia",Stewart County,13259,5832,37,22413,14954,183,1640,28.12071331,Georgia,GA,0.031378601,3.137860082
"Towns County, Georgia",Towns County,13281,11173,53.3,41182,22301,287,1516,13.56842388,Georgia,GA,0.025686924,2.568692383
"Treutlen County, Georgia",Treutlen County,13283,6752,40.8,39375,20775,157,1347,19.94964455,Georgia,GA,0.02325237,2.325236967
"Turner County, Georgia",Turner County,13287,8036,40.2,42622,20302,223,2137,26.59283225,Georgia,GA,0.027750124,2.775012444
"Irwin County, Georgia",Irwin County,13155,9278,39.7,34677,19429,264,2204,23.75511964,Georgia,GA,0.028454408,2.845440828
"Atkinson County, Georgia",Atkinson County,13003,8313,34.9,33063,19904,303,2262,27.21039336,Georgia,GA,0.036448935,3.64489354
"Appling County, Georgia",Appling County,13001,18471,39.3,37089,19936,582,4435,24.01061123,Georgia,GA,0.031508852,3.150885171
"Bacon County, Georgia",Bacon County,13005,11279,37.6,38824,18856,139,2466,21.86364039,Georgia,GA,0.012323788,1.232378757
"Brantley County, Georgia",Brantley County,13025,18411,40.3,36812,18220,543,3970,21.56319592,Georgia,GA,0.029493238,2.949323774
"Whitfield County, Georgia",Whitfield County,13313,103963,35.4,43871,22262,4064,19710,18.95866799,Georgia,GA,0.03909083,3.909083039
"Calhoun County, Georgia",Calhoun County,13037,6503,38.4,29617,13865,283,1474,22.66646163,Georgia,GA,0.043518376,4.351837613
"Macon County, Georgia",Macon County,13193,13675,40.6,30851,15919,913,3364,24.59963437,Georgia,GA,0.066764168,6.676416819
"Troup County, Georgia",Troup County,13285,69433,36.2,43597,22091,2879,14430,20.78262498,Georgia,GA,0.041464433,4.146443334
"Bibb County, Georgia",Bibb County,13021,153923,36,38183,23426,7014,39473,25.6446405,Georgia,GA,0.045568239,4.556823866
"Harris County, Georgia",Harris County,13145,33198,43.2,69539,32373,1403,2382,7.175131032,Georgia,GA,0.042261582,4.226158202
"Marion County, Georgia",Marion County,13197,8558,43.3,39015,20154,380,1952,22.80906754,Georgia,GA,0.044402898,4.440289787
"Schley County, Georgia",Schley County,13249,5168,36.9,41267,19761,335,1148,22.21362229,Georgia,GA,0.064821981,6.482198142
"Worth County, Georgia",Worth County,13321,20809,42.1,40369,20783,873,4447,21.37056082,Georgia,GA,0.041953001,4.195300111
"Bleckley County, Georgia",Bleckley County,13023,12779,37.4,40688,20667,352,2591,20.27545191,Georgia,GA,0.027545191,2.754519133
"Dooly County, Georgia",Dooly County,13093,14053,43.5,33389,16867,577,2837,20.18786024,Georgia,GA,0.041058849,4.105884864
"Evans County, Georgia",Evans County,13109,10757,37.3,38736,20736,303,2657,24.70019522,Georgia,GA,0.028167705,2.816770475
"Franklin County, Georgia",Franklin County,13119,22328,41.1,39246,19663,558,5503,24.64618416,Georgia,GA,0.024991043,2.499104264
"Webster County, Georgia",Webster County,13307,2627,43.5,36658,22206,47,509,19.37571374,Georgia,GA,0.017891131,1.789113057
"Effingham County, Georgia",Effingham County,13103,57087,36.2,64279,26765,1428,5405,9.468004975,Georgia,GA,0.025014452,2.501445163
"Lamar County, Georgia",Lamar County,13171,18282,38.1,41157,20458,898,3525,19.28126026,Georgia,GA,0.049119352,4.911935237
"Glascock County, Georgia",Glascock County,13125,3027,42.9,45273,19815,45,339,11.19920714,Georgia,GA,0.014866204,1.486620416
"Emanuel County, Georgia",Emanuel County,13107,22502,37.2,33089,17944,957,6329,28.12638877,Georgia,GA,0.042529553,4.252955293
"Quitman County, Georgia",Quitman County,13239,2140,52.6,26750,18921,100,488,22.80373832,Georgia,GA,0.046728972,4.672897196
"Chatham County, Georgia",Chatham County,13051,285506,34.9,52215,28765,12654,47119,16.50368118,Georgia,GA,0.04432131,4.432131024
"Liberty County, Georgia",Liberty County,13179,62120,27.9,43493,20966,3028,9931,15.98679974,Georgia,GA,0.048744366,4.874436574
"Jasper County, Georgia",Jasper County,13159,13732,42.2,42067,19784,429,2623,19.10136906,Georgia,GA,0.031240897,3.124089717
"Johnson County, Georgia",Johnson County,13167,9800,41.6,36423,19706,531,2037,20.78571429,Georgia,GA,0.054183673,5.418367347
"Lanier County, Georgia",Lanier County,13173,10388,33.8,31109,17739,420,2875,27.67616481,Georgia,GA,0.040431267,4.043126685
"Madison County, Georgia",Madison County,13195,28600,41,47653,22885,1044,4977,17.4020979,Georgia,GA,0.036503497,3.65034965
"Mitchell County, Georgia",Mitchell County,13205,22574,38.8,34122,16088,1419,5438,24.08966067,Georgia,GA,0.062859927,6.285992735
"Seminole County, Georgia",Seminole County,13253,8549,44,33999,21257,226,2149,25.13744298,Georgia,GA,0.02643584,2.643584045
"Tift County, Georgia",Tift County,13277,40531,35.5,38728,20800,694,10725,26.46122721,Georgia,GA,0.017122696,1.712269621
"Twiggs County, Georgia",Twiggs County,13289,8323,46.3,30629,17485,173,2244,26.96143218,Georgia,GA,0.020785774,2.078577436
"Polk County, Georgia",Polk County,13233,41444,37.1,40652,22314,1367,7781,18.77473217,Georgia,GA,0.032984268,3.298426793
"Talbot County, Georgia",Talbot County,13263,6423,49.9,37226,21351,234,1070,16.65888214,Georgia,GA,0.036431574,3.643157403
"Taylor County, Georgia",Taylor County,13269,8267,43.8,29875,18482,488,2285,27.64001452,Georgia,GA,0.059029878,5.902987783
"Terrell County, Georgia",Terrell County,13273,8978,40.7,32219,17562,390,3047,33.93851637,Georgia,GA,0.043439519,4.343951882
"Thomas County, Georgia",Thomas County,13275,44909,39.6,41336,24047,1917,8580,19.10530183,Georgia,GA,0.042686321,4.268632123
"Toombs County, Georgia",Toombs County,13279,27160,36.1,35750,21309,1213,6532,24.05007364,Georgia,GA,0.044661267,4.466126657
"Wilkinson County, Georgia",Wilkinson County,13319,9147,42.5,38711,19823,311,2112,23.08953755,Georgia,GA,0.034000219,3.400021865
"Ben Hill County, Georgia",Ben Hill County,13017,17272,39,32344,16635,333,5139,29.75335804,Georgia,GA,0.019279759,1.927975915
"Burke County, Georgia",Burke County,13033,22645,37.4,38707,19720,534,6504,28.72157209,Georgia,GA,0.023581365,2.358136454
"Catoosa County, Georgia",Catoosa County,13047,65870,39.6,54537,25643,1798,7045,10.69530894,Georgia,GA,0.027296189,2.729618946
"Chattahoochee County, Georgia",Chattahoochee County,13053,11096,23.7,46096,22774,395,1139,10.26496035,Georgia,GA,0.035598414,3.559841384
"Chattooga County, Georgia",Chattooga County,13055,24880,40.3,35718,17716,928,5152,20.7073955,Georgia,GA,0.037299035,3.729903537
"Columbia County, Georgia",Columbia County,13073,143723,36.4,74162,31720,3857,12269,8.53655991,Georgia,GA,0.026836345,2.683634491
"Decatur County, Georgia",Decatur County,13087,27023,37.9,36934,19650,680,6233,23.06553676,Georgia,GA,0.025163749,2.51637494
"Floyd County, Georgia",Floyd County,13115,96471,38.3,46096,23929,3381,16774,17.38760871,Georgia,GA,0.035046802,3.504680163
"Forsyth County, Georgia",Forsyth County,13117,211300,38.2,96445,39896,4567,13643,6.45669664,Georgia,GA,0.021613819,2.161381921
"Habersham County, Georgia",Habersham County,13137,43878,39.5,44474,20656,1005,7114,16.21313642,Georgia,GA,0.022904417,2.290441679
"Hart County, Georgia",Hart County,13147,25535,43,41216,21668,494,4642,18.17897004,Georgia,GA,0.019345996,1.934599569
"Lowndes County, Georgia",Lowndes County,13185,113941,30.1,39911,21199,4687,27410,24.05630984,Georgia,GA,0.041135324,4.113532442
"McIntosh County, Georgia",McIntosh County,13191,14061,49.2,43285,25226,580,2829,20.11947941,Georgia,GA,0.041248844,4.124884432
"Meriwether County, Georgia",Meriwether County,13199,21152,42,36368,19679,723,4735,22.38559002,Georgia,GA,0.034181165,3.41811649
"Monroe County, Georgia",Monroe County,13207,26795,43.3,50666,30359,1143,3415,12.7449151,Georgia,GA,0.042657212,4.265721217
"Putnam County, Georgia",Putnam County,13237,21430,45.6,48340,27498,632,3425,15.98226785,Georgia,GA,0.029491367,2.949136724
"Sumter County, Georgia",Sumter County,13261,30687,35.2,34219,18785,1370,9560,31.15325708,Georgia,GA,0.044644312,4.464431192
"Taliaferro County, Georgia",Taliaferro County,13265,1844,43.3,30500,17939,66,571,30.96529284,Georgia,GA,0.035791757,3.579175705
"Warren County, Georgia",Warren County,13301,5410,44.2,32860,20712,189,1427,26.37707948,Georgia,GA,0.034935305,3.493530499
"Baker County, Georgia",Baker County,13007,3251,43.6,43867,22270,33,634,19.50169179,Georgia,GA,0.010150723,1.015072285
"Bryan County, Georgia",Bryan County,13029,34883,34.8,68589,29880,1315,4897,14.03835679,Georgia,GA,0.037697446,3.769744575
"Butts County, Georgia",Butts County,13035,23556,38.4,39655,21236,710,4892,20.76753269,Georgia,GA,0.030140941,3.014094074
"Candler County, Georgia",Candler County,13043,10894,37.9,33125,18233,287,3341,30.66825776,Georgia,GA,0.026344777,2.634477694
"Camden County, Georgia",Camden County,13039,52252,31.6,53687,26854,1881,6413,12.27321442,Georgia,GA,0.035998622,3.599862206
"Carroll County, Georgia",Carroll County,13045,114898,34.4,46844,23139,5147,20705,18.02033108,Georgia,GA,0.044796254,4.479625407
"Crawford County, Georgia",Crawford County,13079,12385,44.2,41032,22212,665,2207,17.81994348,Georgia,GA,0.053693985,5.369398466
"Early County, Georgia",Early County,13099,10405,40.5,29493,17972,352,2812,27.02546852,Georgia,GA,0.033829889,3.382988948
"Crisp County, Georgia",Crisp County,13081,23005,38.3,33194,21225,1472,7025,30.53683982,Georgia,GA,0.06398609,6.398608998
"Coffee County, Georgia",Coffee County,13069,43048,35.9,36572,18945,975,9348,21.71529455,Georgia,GA,0.022649136,2.264913585
"Coweta County, Georgia",Coweta County,13077,138015,37.9,67570,31548,3808,15900,11.5204869,Georgia,GA,0.027591204,2.759120385
"Cobb County, Georgia",Cobb County,13067,739072,36.4,72004,36587,24188,79127,10.70626407,Georgia,GA,0.032727529,3.272752858
"Gilmer County, Georgia",Gilmer County,13123,29614,46,46211,23688,972,5520,18.63983251,Georgia,GA,0.032822314,3.282231377
"Dade County, Georgia",Dade County,13083,16282,41.8,43163,23184,387,2619,16.08524751,Georgia,GA,0.023768579,2.37685788
"Walton County, Georgia",Walton County,13297,88695,38.9,55876,25184,2932,11200,12.62754383,Georgia,GA,0.033057106,3.305710581
"Wilkes County, Georgia",Wilkes County,13317,9905,45.5,34234,21957,312,2595,26.19888945,Georgia,GA,0.031499243,3.149924281
"Brooks County, Georgia",Brooks County,13027,15629,43.2,34890,20964,922,3641,23.29643611,Georgia,GA,0.058992898,5.899289782
"Dodge County, Georgia",Dodge County,13091,21063,41.2,35290,18563,761,4229,20.07786165,Georgia,GA,0.036129706,3.612970612
"Gordon County, Georgia",Gordon County,13129,56424,37,43452,21208,1531,10466,18.54884446,Georgia,GA,0.027133844,2.713384375
"Elbert County, Georgia",Elbert County,13105,19288,42.3,35207,21138,613,4246,22.01368727,Georgia,GA,0.031781418,3.17814185
"Cherokee County, Georgia",Cherokee County,13057,235896,38,75477,33466,6009,22072,9.356665649,Georgia,GA,0.02547309,2.547308984
"Fayette County, Georgia",Fayette County,13113,110306,43.5,84861,39936,3035,6907,6.261672076,Georgia,GA,0.027514369,2.751436912
"Jenkins County, Georgia",Jenkins County,13165,8929,40.6,27197,15149,221,2720,30.4625378,Georgia,GA,0.024750812,2.475081196
"Lee County, Georgia",Lee County,13177,29216,36.9,65018,28061,1039,3281,11.23014786,Georgia,GA,0.035562705,3.556270537
"Newton County, Georgia",Newton County,13217,105042,36.2,52784,23611,4592,17328,16.49625864,Georgia,GA,0.043715847,4.371584699
"Pickens County, Georgia",Pickens County,13227,30343,44.9,61542,29460,975,2964,9.768315592,Georgia,GA,0.032132617,3.213261708
"Greene County, Georgia",Greene County,13133,16732,48.9,45069,32890,425,3623,21.65311977,Georgia,GA,0.02540043,2.540043031
"Colquitt County, Georgia",Colquitt County,13071,45890,36,34503,18121,1464,11444,24.93789497,Georgia,GA,0.031902375,3.190237525
"Cook County, Georgia",Cook County,13075,17190,37,35539,17587,425,4099,23.84525887,Georgia,GA,0.024723677,2.472367656
"Dawson County, Georgia",Dawson County,13085,23397,43.3,62284,31954,689,2729,11.66388853,Georgia,GA,0.02944822,2.944821986
"Hancock County, Georgia",Hancock County,13141,8667,44.3,29268,15454,89,1804,20.81458405,Georgia,GA,0.010268836,1.026883581
"Clayton County, Georgia",Clayton County,13063,274150,32.4,44106,19498,14125,58701,21.41200073,Georgia,GA,0.051522889,5.152288893
"Fulton County, Georgia",Fulton County,13121,1010420,35.2,61336,41041,41779,156519,15.4904891,Georgia,GA,0.041348152,4.134815225
"Hall County, Georgia",Hall County,13139,192865,36,55622,26283,4389,30634,15.88364918,Georgia,GA,0.022756851,2.275685065
"Lumpkin County, Georgia",Lumpkin County,13187,31567,37.3,43039,23364,922,6052,19.17192004,Georgia,GA,0.029207717,2.920771692
"McDuffie County, Georgia",McDuffie County,13189,21488,37.8,40469,20436,721,5503,25.60964259,Georgia,GA,0.033553611,3.355361132
"Miller County, Georgia",Miller County,13201,5884,43.1,37255,21002,143,1332,22.63766145,Georgia,GA,0.024303195,2.430319511
"Morgan County, Georgia",Morgan County,13211,18013,44.2,59572,28830,481,2374,13.17937045,Georgia,GA,0.026702937,2.670293677
"Heard County, Georgia",Heard County,13149,11607,41.9,44897,20946,510,1975,17.01559404,Georgia,GA,0.043939002,4.393900233
"Oconee County, Georgia",Oconee County,13219,35972,40.1,77388,38639,780,2476,6.883131324,Georgia,GA,0.021683532,2.168353164
"Dougherty County, Georgia",Dougherty County,13095,91522,35,34541,20292,6461,26759,29.23777889,Georgia,GA,0.070595048,7.059504819
"Fannin County, Georgia",Fannin County,13111,24480,50.8,43344,24845,841,3806,15.54738562,Georgia,GA,0.034354575,3.435457516
"Henry County, Georgia",Henry County,13151,217506,36.7,64752,26924,8348,24638,11.32750361,Georgia,GA,0.03838055,3.838055042
"Houston County, Georgia",Houston County,13153,150341,35.1,55965,26305,5542,24745,16.45924931,Georgia,GA,0.036862865,3.686286509
"Laurens County, Georgia",Laurens County,13175,47451,38.3,35202,20687,923,12683,26.72862532,Georgia,GA,0.019451645,1.945164485
"Long County, Georgia",Long County,13183,17857,31.6,53083,20321,1243,3530,19.76815815,Georgia,GA,0.069608557,6.960855687
"Spalding County, Georgia",Spalding County,13255,64192,38.9,42398,21675,2237,13624,21.22382851,Georgia,GA,0.034848579,3.484857926
"Stephens County, Georgia",Stephens County,13257,25625,42.3,39756,21657,1339,4504,17.57658537,Georgia,GA,0.052253659,5.225365854
"Telfair County, Georgia",Telfair County,13271,16339,41,28044,13594,208,3608,22.08213477,Georgia,GA,0.012730277,1.273027725
"Union County, Georgia",Union County,13291,22262,53.8,42767,26755,463,2788,12.52358279,Georgia,GA,0.020797772,2.079777199
"Upson County, Georgia",Upson County,13293,26241,41.5,35375,19624,1251,5817,22.16760032,Georgia,GA,0.047673488,4.767348805
"Washington County, Georgia",Washington County,13303,20506,40.3,38097,19238,786,5074,24.74397737,Georgia,GA,0.038330245,3.833024481
"White County, Georgia",White County,13311,28509,45.1,43944,23630,530,4981,17.47167561,Georgia,GA,0.018590621,1.859062051
"Peach County, Georgia",Peach County,13225,27027,35.8,43645,22388,1068,4685,17.33451733,Georgia,GA,0.03951604,3.951603952
"Paulding County, Georgia",Paulding County,13223,152399,35.6,63669,26636,4058,14716,9.65623134,Georgia,GA,0.026627471,2.662747131
"Pierce County, Georgia",Pierce County,13229,19141,39.4,39863,23754,500,3994,20.86620344,Georgia,GA,0.026121937,2.61219372
"Pike County, Georgia",Pike County,13231,17919,40.5,52377,25176,734,2148,11.98727608,Georgia,GA,0.040962107,4.096210726
"Richmond County, Georgia",Richmond County,13245,201568,33.7,39430,21464,10363,46692,23.16439117,Georgia,GA,0.05141193,5.141193047
"Screven County, Georgia",Screven County,13251,14037,41.2,36556,20255,328,3092,22.02749875,Georgia,GA,0.023366816,2.336681627
"Tattnall County, Georgia",Tattnall County,13267,25402,36.9,36355,16279,323,4553,17.92378553,Georgia,GA,0.012715534,1.271553421
"Berrien County, Georgia",Berrien County,13019,19014,39.5,38297,18064,731,4445,23.37751131,Georgia,GA,0.038445356,3.844535605
"Walker County, Georgia",Walker County,13295,68609,41.4,43581,22564,2179,11523,16.79517264,Georgia,GA,0.031759682,3.175968167
"Gwinnett County, Georgia",Gwinnett County,13135,889954,34.9,64496,27945,27244,107267,12.05309488,Georgia,GA,0.030612818,3.061281819
"Barrow County, Georgia",Barrow County,13013,75099,35.1,56119,22978,2500,9829,13.0880571,Georgia,GA,0.033289391,3.328939134
"Charlton County, Georgia",Charlton County,13049,12963,41.4,43257,19102,512,2719,20.97508293,Georgia,GA,0.03949703,3.949703001
"Clinch County, Georgia",Clinch County,13065,6788,37.6,21838,17145,217,2641,38.90689452,Georgia,GA,0.031968179,3.196817914
"Bartow County, Georgia",Bartow County,13015,102623,37.5,52393,24931,3017,14417,14.04850764,Georgia,GA,0.029398868,2.93988677
"Douglas County, Georgia",Douglas County,13097,140152,36.3,59333,25449,5716,19690,14.04903248,Georgia,GA,0.040784291,4.078429134
"Grady County, Georgia",Grady County,13131,25048,39.7,39462,20864,884,6284,25.08783136,Georgia,GA,0.035292239,3.52922389
"Jeff Davis County, Georgia",Jeff Davis County,13161,14999,36.3,37267,18550,290,3079,20.5280352,Georgia,GA,0.019334622,1.933462231
"Montgomery County, Georgia",Montgomery County,13209,8962,39.4,40308,20114,250,1593,17.77505021,Georgia,GA,0.027895559,2.789555903
"Oglethorpe County, Georgia",Oglethorpe County,13221,14654,42.5,43938,21858,394,2543,17.35362358,Georgia,GA,0.026886857,2.688685683
"Randolph County, Georgia",Randolph County,13243,7206,44.3,30640,19781,259,2449,33.98556758,Georgia,GA,0.03594227,3.594227033
"Rockdale County, Georgia",Rockdale County,13247,88482,37.3,54175,24254,3683,14232,16.08462738,Georgia,GA,0.041624285,4.162428517
"Ware County, Georgia",Ware County,13299,35688,38.9,36962,19246,632,8240,23.0889935,Georgia,GA,0.017709034,1.770903385
"Wayne County, Georgia",Wayne County,13305,29833,38.2,41534,19188,1098,5863,19.65273355,Georgia,GA,0.036804881,3.68048805
"Wheeler County, Georgia",Wheeler County,13309,7952,38.2,28490,11192,185,1780,22.38430584,Georgia,GA,0.023264588,2.326458753
"Wilcox County, Georgia",Wilcox County,13315,8896,39.4,35457,15119,197,1491,16.76034173,Georgia,GA,0.022144784,2.214478417
"Baldwin County, Georgia",Baldwin County,13009,45527,35.1,37008,20114,1735,11610,25.50135085,Georgia,GA,0.038109254,3.810925385
"Banks County, Georgia",Banks County,13011,18363,40.3,42182,19451,547,2629,14.31683276,Georgia,GA,0.029788161,2.978816098
"Bulloch County, Georgia",Bulloch County,13031,73742,28.1,39305,20526,3343,20153,27.3290662,Georgia,GA,0.045333731,4.533373112
"Clarke County, Georgia",Clarke County,13059,123554,27.3,34557,21203,4742,38618,31.25596905,Georgia,GA,0.03837998,3.83799796
"Hawaii County, Hawaii",Hawaii County,15001,196325,42.1,56395,26959,6225,33703,17.16694257,Hawaii,HI,0.031707628,3.170762766
"Honolulu County, Hawaii",Honolulu County,15003,990060,37.6,80078,33776,22156,86868,8.774013696,Hawaii,HI,0.022378442,2.237844171
"Maui County, Hawaii",Maui County,15009,164094,40.9,72762,32379,4348,16147,9.840091655,Hawaii,HI,0.026497008,2.649700781
"Kauai County, Hawaii",Kauai County,15007,71093,42.1,72330,30515,1651,6420,9.030424936,Hawaii,HI,0.023223102,2.322310213
"Kalawao County, Hawaii",Kalawao County,15005,86,57.6,61750,46024,0,10,11.62790698,Hawaii,HI,0,0
"Oneida County, Idaho",Oneida County,16071,4284,39.5,43491,21360,96,535,12.48832866,Idaho,ID,0.022408964,2.240896359
"Cassia County, Idaho",Cassia County,16031,23472,31.8,48162,20007,443,3393,14.45552147,Idaho,ID,0.018873551,1.887355147
"Gem County, Idaho",Gem County,16045,16850,45.2,42888,20041,410,3455,20.50445104,Idaho,ID,0.024332344,2.433234421
"Lincoln County, Idaho",Lincoln County,16063,5296,33.1,46383,19095,77,601,11.34818731,Idaho,ID,0.014539275,1.453927492
"Valley County, Idaho",Valley County,16085,10104,50.2,54015,28515,190,1042,10.31274743,Idaho,ID,0.018804434,1.880443389
"Adams County, Idaho",Adams County,16003,3946,52.8,42727,24315,146,541,13.71008616,Idaho,ID,0.036999493,3.699949316
"Franklin County, Idaho",Franklin County,16041,13120,32.6,51583,20454,142,1601,12.2027439,Idaho,ID,0.010823171,1.082317073
"Nez Perce County, Idaho",Nez Perce County,16069,40014,41.3,51804,26799,840,5579,13.94262008,Idaho,ID,0.020992653,2.099265257
"Jerome County, Idaho",Jerome County,16053,23039,32.6,46421,19329,496,3693,16.02934155,Idaho,ID,0.021528712,2.152871218
